catalogue_release,observable_id,measurement_id,object_id,observable_name,value,err_plus,err_minus,censoring,unit,uncertainty_kind,source_location
v2-dataset-catalogue,UNCOVER35488_greene24__log_mbh,UNCOVER35488_greene24,UNCOVER-35488,log_mbh,7.4,0.2,0.2,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER35488_greene24__lensing_mu,UNCOVER35488_greene24,UNCOVER-35488,lensing_mu,3.38,,,detection,dimensionless,not_published,Tables 1 and 3
v2-dataset-catalogue,UNCOVER38108_greene24__log_mbh,UNCOVER38108_greene24,UNCOVER-38108,log_mbh,8.4,0.5,0.5,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER38108_greene24__lensing_mu,UNCOVER38108_greene24,UNCOVER-38108,lensing_mu,1.59,,,detection,dimensionless,not_published,Tables 1 and 3
v2-dataset-catalogue,UNCOVER41225_greene24__log_mbh,UNCOVER41225_greene24,UNCOVER-41225,log_mbh,7.7,0.4,0.4,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER41225_greene24__lensing_mu,UNCOVER41225_greene24,UNCOVER-41225,lensing_mu,1.5,,,detection,dimensionless,not_published,Tables 1 and 3
v2-dataset-catalogue,UNCOVER45924_greene24__log_mbh,UNCOVER45924_greene24,UNCOVER-45924,log_mbh,8.9,0.1,0.1,detection,log10(Msun),published_symmetric_1sigma,Tables 1 and 3
v2-dataset-catalogue,UNCOVER45924_greene24__lensing_mu,UNCOVER45924_greene24,UNCOVER-45924,lensing_mu,1.59,,,detection,dimensionless,not_published,Tables 1 and 3
v2-dataset-catalogue,RUBIESEGS61496_kocevski25__log_mbh,RUBIESEGS61496_kocevski25,RUBIES-EGS-61496,log_mbh,7.04,0.17,0.17,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESEGS61496_kocevski25__halpha_broad_fwhm,RUBIESEGS61496_kocevski25,RUBIES-EGS-61496,halpha_broad_fwhm,1800.0,,,detection,km/s,not_published,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESEGS61496_kocevski25__log_mstar,RUBIESEGS61496_kocevski25,RUBIES-EGS-61496,log_mstar,8.53,0.33,0.33,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESEGS55604_kocevski25__log_mbh,RUBIESEGS55604_kocevski25,RUBIES-EGS-55604,log_mbh,9.31,0.1,0.1,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESEGS55604_kocevski25__hbeta_broad_fwhm,RUBIESEGS55604_kocevski25,RUBIES-EGS-55604,hbeta_broad_fwhm,4860.0,,,detection,km/s,not_published,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESEGS55604_kocevski25__log_mstar,RUBIESEGS55604_kocevski25,RUBIES-EGS-55604,log_mstar,10.1,0.22,0.22,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESEGS927271_kocevski25__log_mbh,RUBIESEGS927271_kocevski25,RUBIES-EGS-927271,log_mbh,6.97,0.18,0.18,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESEGS927271_kocevski25__halpha_broad_fwhm,RUBIESEGS927271_kocevski25,RUBIES-EGS-927271,halpha_broad_fwhm,1410.0,,,detection,km/s,not_published,Table 5 canonical-mass z>=4 additions
v2-dataset-catalogue,RUBIESEGS927271_kocevski25__log_mstar,RUBIESEGS927271_kocevski25,RUBIES-EGS-927271,log_mstar,8.85,0.37,0.37,detection,log10(Msun),published_symmetric_1sigma,Table 5 canonical-mass z>=4 additions
