catalogue_release,physical_object_id,host_system_id,measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,alias_kind
v2-dataset-catalogue,HZA-RUBIES-UDS-48507,HZS-RUBIES-UDS-48507,RUBIESUDS48507_taylor24,RUBIES-UDS-48507,taylor24_ceers_rubies_blagn,34.284578,-5.230702,4.468,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-63139,HZS-RUBIES-UDS-63139,RUBIESUDS63139_taylor24,RUBIES-UDS-63139,taylor24_ceers_rubies_blagn,34.230848,-5.202607,4.435,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-807469,HZS-RUBIES-UDS-807469,RUBIESUDS807469_taylor24,RUBIES-UDS-807469,taylor24_ceers_rubies_blagn,34.376139,-5.310366,6.778,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-970351,HZS-RUBIES-UDS-970351,RUBIESUDS970351_taylor24,RUBIES-UDS-970351,taylor24_ceers_rubies_blagn,34.2619,-5.105205,5.282,source_object_id
v2-dataset-catalogue,HZA-THRILS-101567,HZS-THRILS-101567,THRILS101567_davis26,THRILS-101567,davis26_thrils_blagn,214.831734,52.867166,5.33,source_object_id
v2-dataset-catalogue,HZA-THRILS-24975,HZS-THRILS-24975,THRILS24975_davis26,THRILS-24975,davis26_thrils_blagn,214.940291,52.941319,4.4,source_object_id
v2-dataset-catalogue,HZA-THRILS-25501,HZS-THRILS-25501,THRILS25501_davis26,THRILS-25501,davis26_thrils_blagn,214.863029,52.889436,6.57,source_object_id
v2-dataset-catalogue,HZA-THRILS-40467,HZS-THRILS-40467,THRILS40467_davis26,THRILS-40467,davis26_thrils_blagn,214.923949,52.948385,5.27,source_object_id
v2-dataset-catalogue,HZA-THRILS-44774,HZS-THRILS-44774,THRILS44774_davis26,THRILS-44774,davis26_thrils_blagn,214.828433,52.853442,5.11,source_object_id
v2-dataset-catalogue,HZA-THRILS-49400,HZS-THRILS-49400,THRILS49400_davis26,THRILS-49400,davis26_thrils_blagn,215.000179,52.907742,5.11,source_object_id
v2-dataset-catalogue,HZA-UNCOVER-4286,HZS-UNCOVER-4286,UNCOVER4286_greene24,UNCOVER-4286,greene24_uncover_blagn,3.619202,-30.42327,5.84,source_object_id
v2-dataset-catalogue,HZA-A2744-QSO1,HZS-A2744-QSO1,UNCOVER13123_greene24,A2744-QSO1,greene24_uncover_blagn,3.579829,-30.40157,7.04,source_object_id
v2-dataset-catalogue,HZA-UNCOVER-13821,HZS-UNCOVER-13821,UNCOVER13821_greene24,UNCOVER-13821,greene24_uncover_blagn,3.620607,-30.399951,6.34,source_object_id
v2-dataset-catalogue,HZA-UNCOVER-20466,HZS-UNCOVER-20466,UNCOVER20466_greene24,UNCOVER-20466,greene24_uncover_blagn,3.640409,-30.386437,8.5,source_object_id
v2-dataset-catalogue,HZA-UNCOVER-23608,HZS-UNCOVER-23608,UNCOVER23608_greene24,UNCOVER-23608,greene24_uncover_blagn,3.542815,-30.380646,5.8,source_object_id
v2-dataset-catalogue,HZA-UNCOVER-35488,HZS-UNCOVER-35488,UNCOVER35488_greene24,UNCOVER-35488,greene24_uncover_blagn,3.578984,-30.362598,6.26,source_object_id
v2-dataset-catalogue,HZA-UNCOVER-38108,HZS-UNCOVER-38108,UNCOVER38108_greene24,UNCOVER-38108,greene24_uncover_blagn,3.530009,-30.358013,4.96,source_object_id
v2-dataset-catalogue,HZA-UNCOVER-41225,HZS-UNCOVER-41225,UNCOVER41225_greene24,UNCOVER-41225,greene24_uncover_blagn,3.533994,-30.353308,6.76,source_object_id
v2-dataset-catalogue,HZA-UNCOVER-45924,HZS-UNCOVER-45924,UNCOVER45924_greene24,UNCOVER-45924,greene24_uncover_blagn,3.584758,-30.34363,4.46,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-61496,HZS-RUBIES-EGS-61496,RUBIESEGS61496_kocevski25,RUBIES-EGS-61496,kocevski25_lrd_blagn,214.972445,52.962196,5.079,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-55604,HZS-RUBIES-EGS-55604,RUBIESEGS55604_kocevski25,RUBIES-EGS-55604,kocevski25_lrd_blagn,214.983037,52.956006,6.986,source_object_id
v2-dataset-catalogue,HZA-RUBIES-EGS-927271,HZS-RUBIES-EGS-927271,RUBIESEGS927271_kocevski25,RUBIES-EGS-927271,kocevski25_lrd_blagn,215.078257,52.948504,6.786,source_object_id
v2-dataset-catalogue,HZA-RUBIES-UDS-50716,HZS-RUBIES-UDS-50716,RUBIESUDS50716_kocevski25,RUBIES-UDS-50716,kocevski25_lrd_blagn,34.313132,-5.226765,6.17,source_object_id
