physical_object_id,object_id,object_class,redshift,seed_mass_family,required_fedd
HZA-GNIRS50-J0300-2232,J0300-2232,luminous_quasar_comparison,5.65156,1e2,0.8458488827151774
HZA-GNIRS50-J0227-0605,J0227-0605,luminous_quasar_comparison,6.20651,1e2,0.9224223365207539
HZA-GOODS-N-9771,GOODS-N-9771,broad_line_agn,5.538,1e2,0.8099785765046903
HZA-GS-164055,GS-164055,broad_line_agn,7.397,1e2,1.064628309775132
HZA-GS-20030333,GS-20030333,broad_line_agn,7.891,1e2,1.1332146730828314
HZA-GN-954,GN-954,broad_line_agn,6.759,1e2,0.9403035606779888
HZA-GNIRS50-J2307-0031,J2307+0031,luminous_quasar_comparison,5.90021,1e2,0.830158184801893
HZA-GN-4685,GN-4685,broad_line_agn,7.415,1e2,1.0173652371980322
HZA-RUBIES-EGS-42046,RUBIES-EGS-42046,broad_line_agn,5.276,1e2,0.7281883631027115
HZA-RUBIES-UDS-807469,RUBIES-UDS-807469,broad_line_agn,6.778,1e2,0.8995229948944198
HZA-RUBIES-UDS-139709,RUBIES-UDS-139709,broad_line_agn,5.685,1e2,0.7544645467223257
HZA-DC-536534,DC_536534,broad_line_agn,5.6886,1e2,0.7422978921291817
HZA-CEERS-397,CEERS-397,broad_line_agn,6.0,1e2,0.7759667460501792
HZA-GS-210600,GS-210600,broad_line_agn,6.306,1e2,0.8056392872456205
HZA-GOODS-N-12839,GOODS-N-12839,broad_line_agn,5.241,1e2,0.6883071405476705
HZA-RUBIES-UDS-172350,RUBIES-UDS-172350,broad_line_agn,5.58,1e2,0.7098892624248124
HZA-GS-10013704,GS-10013704,broad_line_agn,5.919,1e2,0.7392417802995618
HZA-GS-204851,GS-204851,broad_line_agn,5.48,1e2,0.6921076590789973
HZA-RUBIES-UDS-47509,RUBIES-UDS-47509,broad_line_agn,5.673,1e2,0.7087184893455124
HZA-J1526M2050-BHAE-2,J1526M2050-BHAE-2,broad_line_agn,4.8708,1e2,0.6289741623543484
