catalogue_release,host_system_id,n_physical_objects,n_measurements,physical_object_ids,measurement_ids,source_keys,host_system_assignment_status,host_property_scope,log_mstar_msun_std,log_mstar_upper_limit_msun,host_mass_note
v7.4-accreting-atlas-catalogue,HZS-GS-172975,1,1,HZA-GS-172975,GS172975_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-20030333,1,1,HZA-GS-20030333,GS20030333_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-20057765,1,1,HZA-GS-20057765,GS20057765_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-200679,1,1,HZA-GS-200679,GS200679_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-204851,1,2,HZA-GS-204851,GS204851_juodzbalis25;GOODSS13971_matthee23,juodzbalis25_jades_blagn;matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-210600,1,1,HZA-GS-210600,GS210600_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-30148179,1,1,HZA-GS-30148179,GS30148179_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-38562,1,1,HZA-GS-38562,GS38562_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GS-8083,1,2,HZA-GS-8083,GS8083_juodzbalis25;scholtz25_00008083,juodzbalis25_jades_blagn;scholtz25_jades_narrow_line_agn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0100-12446,1,1,HZA-J0100-12446,J010012446_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0100-15157,1,1,HZA-J0100-15157,J010015157_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0100-16221,1,1,HZA-J0100-16221,J010016221_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0100-2017,1,1,HZA-J0100-2017,J01002017_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0109M3047-BHAE-1,1,1,HZA-J0109M3047-BHAE-1,J0109M3047BHAE1_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0148-12884,1,1,HZA-J0148-12884,J014812884_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0148-4214,1,1,HZA-J0148-4214,J01484214_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0148-976,1,1,HZA-J0148-976,J0148976_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0218P0007-BHAE-1,1,1,HZA-J0218P0007-BHAE-1,J0218P0007BHAE1_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0224M4711-BHAE-1,1,1,HZA-J0224M4711-BHAE-1,J0224M4711BHAE1_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0229M0808-BHAE-1,1,1,HZA-J0229M0808-BHAE-1,J0229M0808BHAE1_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0229M0808-BHAE-2,1,1,HZA-J0229M0808-BHAE-2,J0229M0808BHAE2_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0430M1445-BHAE-1,1,1,HZA-J0430M1445-BHAE-1,J0430M1445BHAE1_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0910M0414-BHAE-1,1,1,HZA-J0910M0414-BHAE-1,J0910M0414BHAE1_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J0923P0402-BHAE-1,1,1,HZA-J0923P0402-BHAE-1,J0923P0402BHAE1_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J1120-14389,1,1,HZA-J1120-14389,J112014389_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J1120-7546,1,1,HZA-J1120-7546,J11207546_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J1148-18404,1,1,HZA-J1148-18404,J114818404_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J1148-21787,1,1,HZA-J1148-21787,J114821787_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J1148-7111,1,1,HZA-J1148-7111,J11487111_matthee23,matthee23_eiger_fresco_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-J1526M2050-BHAE-1,1,1,HZA-J1526M2050-BHAE-1,J1526M2050BHAE1_lin24,lin24_aspire_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
