science_release,input_catalogue_release,object_class,n_objects,z_seed,spin,spin_case,thin_disk_epsilon,effective_epsilon,merger_boost,merger_case,f_edd_avg,seed_model,seed_log_mass_min,seed_log_mass_max,n_compatible,compatible_object_fraction,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,comparison_scope,demographic_inference_allowed
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.5,light_popiii,1.0,2.0,3,0.026785714285714284,-1.1894193963486495,-5.032130011817529,3.7284058251666203,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,0.5,pbh,2.0,6.0,8,0.07142857142857142,-1.1894193963486495,-5.032130011817529,3.7284058251666203,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,1.0,heavy_dcbh,4.0,6.0,0,0.0,-9.6296266845555,-16.425987863635058,0.1268116503332406,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,1.0,intermediate_cluster,3.0,4.0,0,0.0,-9.6296266845555,-16.425987863635058,0.1268116503332406,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,1.0,light_popiii,1.0,2.0,0,0.0,-9.6296266845555,-16.425987863635058,0.1268116503332406,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,1.0,no_merger_boost,1.0,pbh,2.0,6.0,0,0.0,-9.6296266845555,-16.425987863635058,0.1268116503332406,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.042078755645699455,1.0,no_merger_boost,2.0,heavy_dcbh,4.0,6.0,0,0.0,-39.769420388913346,-56.57459148848251,-12.564146831291028,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.042078755645699455,1.0,no_merger_boost,2.0,intermediate_cluster,3.0,4.0,0,0.0,-39.769420388913346,-56.57459148848251,-12.564146831291028,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.042078755645699455,1.0,no_merger_boost,2.0,light_popiii,1.0,2.0,0,0.0,-39.769420388913346,-56.57459148848251,-12.564146831291028,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.042078755645699455,1.0,no_merger_boost,2.0,pbh,2.0,6.0,0,0.0,-39.769420388913346,-56.57459148848251,-12.564146831291028,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.023219863668194382,1.0,no_merger_boost,3.0,heavy_dcbh,4.0,6.0,0,0.0,-123.30391695487324,-168.54236953037602,-47.81254613369564,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.023219863668194382,1.0,no_merger_boost,3.0,intermediate_cluster,3.0,4.0,0,0.0,-123.30391695487324,-168.54236953037602,-47.81254613369564,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.023219863668194382,1.0,no_merger_boost,3.0,light_popiii,1.0,2.0,0,0.0,-123.30391695487324,-168.54236953037602,-47.81254613369564,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.023219863668194382,1.0,no_merger_boost,3.0,pbh,2.0,6.0,0,0.0,-123.30391695487324,-168.54236953037602,-47.81254613369564,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.1,heavy_dcbh,4.0,6.0,94,0.8392857142857143,5.318473278570637,3.7403965927683425,7.1385091544874175,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.1,intermediate_cluster,3.0,4.0,3,0.026785714285714284,5.318473278570637,3.7403965927683425,7.1385091544874175,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.1,light_popiii,1.0,2.0,0,0.0,5.318473278570637,3.7403965927683425,7.1385091544874175,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.1,pbh,2.0,6.0,97,0.8660714285714286,5.318473278570637,3.7403965927683425,7.1385091544874175,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.3,heavy_dcbh,4.0,6.0,8,0.07142857142857142,1.8404711470857062,-0.7756168667544969,4.877587454790216,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.3,intermediate_cluster,3.0,4.0,9,0.08035714285714286,1.8404711470857062,-0.7756168667544969,4.877587454790216,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.3,light_popiii,1.0,2.0,35,0.3125,1.8404711470857062,-0.7756168667544969,4.877587454790216,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.3,pbh,2.0,6.0,51,0.45535714285714285,1.8404711470857062,-0.7756168667544969,4.877587454790216,within_object_class_descriptive_only,False
v7.4-growth-visualization,v7.4-accreting-atlas-catalogue,broad_line_agn,112,30.0,0.0,spin_0_eps0p057,0.057190958417936644,0.057190958417936644,2.0,merger_boost_x2,0.5,heavy_dcbh,4.0,6.0,0,0.0,-1.4904493920126307,-5.33316000748151,3.427375829502639,within_object_class_descriptive_only,False
