release,physical_object_id,object_id,object_class,growth_ranking_eligible_flag,product_kind,product_status,status_reason,path
v2,HZA-CEERS-01236,CEERS-01236,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-ceers-01236.png
v2,HZA-CEERS-01236,CEERS-01236,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-ceers-01236.png
v2,HZA-RUBIES-EGS-29489,RUBIES-EGS-29489,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-egs-29489.png
v2,HZA-RUBIES-EGS-29489,RUBIES-EGS-29489,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-egs-29489.png
v2,HZA-GS-200679,GS-200679,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-gs-200679.png
v2,HZA-GS-200679,GS-200679,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-gs-200679.png
v2,HZA-GLASS-150029,GLASS-150029,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-glass-150029.png
v2,HZA-GLASS-150029,GLASS-150029,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-glass-150029.png
v2,HZA-J0148-12884,J0148-12884,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0148-12884.png
v2,HZA-J0148-12884,J0148-12884,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0148-12884.png
v2,HZA-RUBIES-UDS-19484,RUBIES-UDS-19484,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-uds-19484.png
v2,HZA-RUBIES-UDS-19484,RUBIES-UDS-19484,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-uds-19484.png
v2,HZA-GN-20621,GN-20621,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-gn-20621.png
v2,HZA-GN-20621,GN-20621,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-gn-20621.png
v2,HZA-J0100-12446,J0100-12446,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0100-12446.png
v2,HZA-J0100-12446,J0100-12446,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0100-12446.png
v2,HZA-J2232P2930-BHAE-3,J2232P2930-BHAE-3,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j2232p2930-bhae-3.png
v2,HZA-J2232P2930-BHAE-3,J2232P2930-BHAE-3,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j2232p2930-bhae-3.png
v2,HZA-RUBIES-UDS-182791,RUBIES-UDS-182791,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-uds-182791.png
v2,HZA-RUBIES-UDS-182791,RUBIES-UDS-182791,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-uds-182791.png
v2,HZA-GS-172975,GS-172975,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-gs-172975.png
v2,HZA-GS-172975,GS-172975,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-gs-172975.png
v2,HZA-GS-8083,GS-8083,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-gs-8083.png
v2,HZA-GS-8083,GS-8083,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-gs-8083.png
v2,HZA-GS-38562,GS-38562,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-gs-38562.png
v2,HZA-GS-38562,GS-38562,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-gs-38562.png
v2,HZA-RUBIES-EGS-45599,RUBIES-EGS-45599,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-egs-45599.png
v2,HZA-RUBIES-EGS-45599,RUBIES-EGS-45599,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-egs-45599.png
v2,HZA-J0923P0402-BHAE-1,J0923P0402-BHAE-1,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0923p0402-bhae-1.png
v2,HZA-J0923P0402-BHAE-1,J0923P0402-BHAE-1,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0923p0402-bhae-1.png
v2,HZA-J1526M2050-BHAE-2,J1526M2050-BHAE-2,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j1526m2050-bhae-2.png
v2,HZA-J1526M2050-BHAE-2,J1526M2050-BHAE-2,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j1526m2050-bhae-2.png
v2,HZA-J1526M2050-BHAE-3,J1526M2050-BHAE-3,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j1526m2050-bhae-3.png
v2,HZA-J1526M2050-BHAE-3,J1526M2050-BHAE-3,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j1526m2050-bhae-3.png
v2,HZA-RUBIES-EGS-6411,RUBIES-EGS-6411,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-egs-6411.png
v2,HZA-RUBIES-EGS-6411,RUBIES-EGS-6411,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-egs-6411.png
v2,HZA-J1120-14389,J1120-14389,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j1120-14389.png
v2,HZA-J1120-14389,J1120-14389,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j1120-14389.png
v2,HZA-J0910M0414-BHAE-1,J0910M0414-BHAE-1,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0910m0414-bhae-1.png
v2,HZA-J0910M0414-BHAE-1,J0910M0414-BHAE-1,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0910m0414-bhae-1.png
v2,HZA-J2132P1217-BHAE-1,J2132P1217-BHAE-1,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j2132p1217-bhae-1.png
v2,HZA-J2132P1217-BHAE-1,J2132P1217-BHAE-1,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j2132p1217-bhae-1.png
v2,HZA-J0100-2017,J0100-2017,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0100-2017.png
v2,HZA-J0100-2017,J0100-2017,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0100-2017.png
v2,HZA-J0100-15157,J0100-15157,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0100-15157.png
v2,HZA-J0100-15157,J0100-15157,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0100-15157.png
v2,HZA-J2002M3013-BHAE-1,J2002M3013-BHAE-1,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j2002m3013-bhae-1.png
v2,HZA-J2002M3013-BHAE-1,J2002M3013-BHAE-1,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j2002m3013-bhae-1.png
v2,HZA-RUBIES-EGS-42232,RUBIES-EGS-42232,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-egs-42232.png
v2,HZA-RUBIES-EGS-42232,RUBIES-EGS-42232,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-egs-42232.png
v2,HZA-RUBIES-EGS-46985,RUBIES-EGS-46985,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-egs-46985.png
v2,HZA-RUBIES-EGS-46985,RUBIES-EGS-46985,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-egs-46985.png
v2,HZA-J1120-7546,J1120-7546,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j1120-7546.png
v2,HZA-J1120-7546,J1120-7546,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j1120-7546.png
v2,HZA-RUBIES-EGS-17146,RUBIES-EGS-17146,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-egs-17146.png
v2,HZA-RUBIES-EGS-17146,RUBIES-EGS-17146,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-egs-17146.png
v2,HZA-J1148-18404,J1148-18404,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j1148-18404.png
v2,HZA-J1148-18404,J1148-18404,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j1148-18404.png
v2,HZA-J0148-4214,J0148-4214,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0148-4214.png
