measurement_id,object_id,redshift,quality_flag,detection_evidence,mbh_method,scenario,scenario_label,mbh_delta_dex,n_samples,random_seed,z_seed,epsilon,merger_boost,growth_history,f_edd_avg,log_mbh_err_plus_reported,log_mbh_err_minus_reported,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,log_mbh_sample_p5,log_mbh_sample_p16,log_mbh_sample_p50,log_mbh_sample_p84,log_mbh_sample_p95,required_log_mseed_p5,required_log_mseed_p16,required_log_mseed_p50,required_log_mseed_p84,required_log_mseed_p95,required_mseed_msun_p5,required_mseed_msun_p16,required_mseed_msun_p50,required_mseed_msun_p84,required_mseed_msun_p95,p_required_mseed_gt1e5,p_required_mseed_gt1e6,prob_required_mseed_gt_1e5,prob_required_mseed_gt_1e6
GS172975_juodzbalis25,GS-172975,4.741,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.32,0.32,0.32,0.32,symmetric_reported,7.012401111738263,7.222383442310792,7.552346193824837,7.8741505131961835,8.081397366937393,4.009986914484744,4.219969245057273,4.549931996571319,4.871736315942664,5.078983169683875,10232.621610822656,16594.693865194226,35475.78362409552,74427.99456475968,119945.28219756216,0.0838,0.0,0.0838,0.0
GS172975_juodzbalis25,GS-172975,4.741,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.32,0.32,0.32,0.32,symmetric_reported,7.012401111738263,7.222383442310792,7.552346193824837,7.8741505131961835,8.081397366937393,-2.995646212440135,-2.7856638818676047,-2.45570113035356,-2.1338968109822143,-1.9266499572410039,0.001010075385318613,0.001638083810545881,0.0035018607329023706,0.007346884126837898,0.011839954778031918,0.0,0.0,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.3,0.3,0.3,0.3,symmetric_reported,6.946796388135258,7.145452764897301,7.436990080118415,7.739894780879239,7.9369721393014165,4.210328100299145,4.408984477061187,4.700521792282302,5.003426493043126,5.200503851465303,16230.358837813617,25643.92379060718,50178.975972458284,100792.0998296354,158673.3273494565,0.1626,0.0,0.1626,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.3,0.3,0.3,0.3,symmetric_reported,6.946796388135258,7.145452764897301,7.436990080118415,7.739894780879239,7.9369721393014165,-2.174764571318455,-1.976108194556413,-1.6845708793352983,-1.3816661785744746,-1.1845888201522972,0.006687063544596302,0.010565542612714989,0.020674219484835575,0.04152731206310535,0.0653749330758038,0.0,0.0,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.3,0.3,0.3,0.3,symmetric_reported,6.646796388135258,6.845452764897301,7.136990080118416,7.439894780879239,7.636972139301417,3.9103281002991452,4.108984477061187,4.4005217922823014,4.703426493043126,4.900503851465303,8134.44864670176,12852.407223963013,25149.062153885745,50515.713685098846,79525.04598470873,0.0235,0.0,0.0235,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,individual_robust,single-epoch-virial-halpha,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.3,0.3,0.3,0.3,symmetric_reported,6.646796388135258,6.845452764897301,7.136990080118416,7.439894780879239,7.636972139301417,-2.4747645713184547,-2.2761081945564126,-1.984570879335298,-1.6816661785744744,-1.484588820152297,0.0033514708790060035,0.0052953150738376895,0.010361654871007799,0.020812958652884232,0.032765081856830185,0.0,0.0,0.0,0.0
GS159717_juodzbalis25,GS-159717,5.077,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.3,0.3,0.3,0.3,symmetric_reported,7.246796388135258,7.445452764897301,7.7369900801184155,8.039894780879239,8.236972139301416,4.510328100299144,4.708984477061187,5.000521792282301,5.303426493043125,5.500503851465304,32383.823347511596,51166.35474733239,100120.21976157487,201106.67843665267,316594.9104510919,0.5005,0.0004,0.5005,0.0004
GS159717_juodzbalis25,GS-159717,5.077,robust,individual_robust,single-epoch-virial-halpha,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.3,0.3,0.3,0.3,symmetric_reported,7.246796388135258,7.445452764897301,7.7369900801184155,8.039894780879239,8.236972139301416,-1.874764571318455,-1.6761081945564131,-1.3845708793352984,-1.0816661785744748,-0.8845888201522963,0.013342445888335214,0.021081029012348044,0.04125049102948773,0.08285788080146664,0.13044014030976409,0.0,0.0,0.0,0.0
GN77652_juodzbalis25,GN-77652,5.229,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd0p3,0.3,0.34,0.32,0.34,0.32,asymmetric,6.09101319744108,6.30234973940133,6.614160738996871,6.96128221129428,7.182677670162591,3.463241437125548,3.674577979085798,3.9863889786813385,4.333510450978748,4.554905909847059,2905.637538184927,4726.91714901471,9691.454964595807,21553.13509847295,35884.418275222655,0.0022,0.0,0.0022,0.0
GN77652_juodzbalis25,GN-77652,5.229,robust,individual_robust,single-epoch-virial-halpha,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,fedd1,1.0,0.34,0.32,0.34,0.32,asymmetric,6.09101319744108,6.30234973940133,6.614160738996871,6.96128221129428,7.182677670162591,-2.668226003610695,-2.4568894616504453,-2.145078462054905,-1.797956989757496,-1.5765615308891836,0.002146713052113712,0.0034922920036298748,0.007160140448717575,0.01592366419479995,0.026511754500201407,0.0,0.0,0.0,0.0
