interpretation_variant,growth_config,seed_model,n_rows,n_objects,median_required_fedd,max_required_fedd,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed,feasible_seed_model_fraction,mean_feasibility_score,median_feasibility_score
mbh_plus_0p3dex,fedd0p3_eps0p1_no_merger_boost,light_popiii,23,23,0.745006336538782,1.5587969894340459,5.048074035612936,3.0539307328113714,7.018503367761171,0.0,0.3868622668410286,0.4
mbh_plus_0p3dex,fedd0p3_eps0p1_no_merger_boost,pbh,23,23,0.43145148109316667,0.9230722792244023,5.048074035612936,3.0539307328113714,7.018503367761171,0.7391304347826086,0.904010236418726,1.0
mbh_plus_0p3dex,fedd0p3_spin_0_eps0p057_merger_boost_x2,heavy_dcbh,23,23,0.14646179795369343,0.32332487938396953,2.757684165528497,0.003249769632991395,5.177587454790217,0.2608695652173913,0.5679438797591798,0.4
mbh_plus_0p3dex,fedd0p3_spin_0_eps0p057_merger_boost_x2,intermediate_cluster,23,23,0.24917137147982496,0.5315659980643376,2.757684165528497,0.003249769632991395,5.177587454790217,0.17391304347826086,0.5500895991573718,0.4
mbh_plus_0p3dex,fedd0p3_spin_0_eps0p057_merger_boost_x2,light_popiii,23,23,0.386117469514667,0.8092208229714949,2.757684165528497,0.003249769632991395,5.177587454790217,0.30434782608695654,0.605571596773401,0.4
mbh_plus_0p3dex,fedd0p3_spin_0_eps0p057_merger_boost_x2,pbh,23,23,0.21493484697111445,0.4621522918375482,2.757684165528497,0.003249769632991395,5.177587454790217,0.6086956521739131,0.800341589612212,1.0
mbh_plus_0p3dex,fedd0p3_spin_0_eps0p057_no_merger_boost,heavy_dcbh,23,23,0.16707423960250728,0.365116094752912,3.058714161192478,0.30427976529697265,5.478617450454198,0.30434782608695654,0.5928462681963087,0.4
mbh_plus_0p3dex,fedd0p3_spin_0_eps0p057_no_merger_boost,intermediate_cluster,23,23,0.2697838131286388,0.57335721343328,3.058714161192478,0.30427976529697265,5.478617450454198,0.21739130434782608,0.5673562961385883,0.4
mbh_plus_0p3dex,fedd0p3_spin_0_eps0p057_no_merger_boost,light_popiii,23,23,0.40672991116348084,0.8510120383404375,3.058714161192478,0.30427976529697265,5.478617450454198,0.21739130434782608,0.5869908056497697,0.4
mbh_plus_0p3dex,fedd0p3_spin_0_eps0p057_no_merger_boost,pbh,23,23,0.23554728861992832,0.5039435072064907,3.058714161192478,0.30427976529697265,5.478617450454198,0.6956521739130435,0.87297686403685,1.0
mbh_plus_0p3dex,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,heavy_dcbh,23,23,0.09472059065992587,0.2091024688907731,0.3644028608026719,-3.3046928201865526,3.987589077524608,0.0,0.4254394301317187,0.4
mbh_plus_0p3dex,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,intermediate_cluster,23,23,0.16114549877077794,0.3437773263394337,0.3644028608026719,-3.3046928201865526,3.987589077524608,0.17391304347826086,0.5268215894438054,0.4
mbh_plus_0p3dex,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,light_popiii,23,23,0.24971204291858065,0.5233438029376477,0.3644028608026719,-3.3046928201865526,3.987589077524608,0.08695652173913043,0.49361463227139657,0.4
mbh_plus_0p3dex,fedd0p3_spin_minus1_eps0p038_merger_boost_x2,pbh,23,23,0.13900386273382723,0.29888570718988017,0.3644028608026719,-3.3046928201865526,3.987589077524608,0.2608695652173913,0.5671252329944185,0.4
mbh_plus_0p3dex,fedd0p3_spin_minus1_eps0p038_no_merger_boost,heavy_dcbh,23,23,0.10805118386031932,0.23612991672665148,0.6654328564666532,-3.0036628245225714,4.288619073188589,0.043478260869565216,0.44080936962159156,0.4
mbh_plus_0p3dex,fedd0p3_spin_minus1_eps0p038_no_merger_boost,intermediate_cluster,23,23,0.17447609197117137,0.3708047741753121,0.6654328564666532,-3.0036628245225714,4.288619073188589,0.17391304347826086,0.5336034711119831,0.4
mbh_plus_0p3dex,fedd0p3_spin_minus1_eps0p038_no_merger_boost,light_popiii,23,23,0.2630426361189741,0.5503712507735261,0.6654328564666532,-3.0036628245225714,4.288619073188589,0.17391304347826086,0.5388436119170252,0.4
mbh_plus_0p3dex,fedd0p3_spin_minus1_eps0p038_no_merger_boost,pbh,23,23,0.15233445593422068,0.3259131550257585,0.6654328564666532,-3.0036628245225714,4.288619073188589,0.30434782608695654,0.5826086956521739,0.4
mbh_plus_0p3dex,fedd0p3_spin_plus1_eps0p423_merger_boost_x2,heavy_dcbh,23,23,1.7675102843288857,3.901905189442276,7.023627204576615,5.5571728259303885,8.28794873381829,0.13043478260869565,0.30261423682968397,0.24649794313422288
mbh_plus_0p3dex,fedd0p3_spin_plus1_eps0p423_merger_boost_x2,intermediate_cluster,23,23,3.007015944117854,6.414972241944759,7.023627204576615,5.5571728259303885,8.28794873381829,0.0,0.06957474013092162,0.0
mbh_plus_0p3dex,fedd0p3_spin_plus1_eps0p423_merger_boost_x2,light_popiii,23,23,4.659690157169812,9.765728311948068,7.023627204576615,5.5571728259303885,8.28794873381829,0.0,0.003085262048565611,0.0
mbh_plus_0p3dex,fedd0p3_spin_plus1_eps0p423_merger_boost_x2,pbh,23,23,2.5938473908548643,5.5772832244439305,7.023627204576615,5.5571728259303885,8.28794873381829,0.13043478260869565,0.20228003973444555,0.08123052182902715
mbh_plus_0p3dex,fedd0p3_spin_plus1_eps0p423_no_merger_boost,heavy_dcbh,23,23,2.0162625399233884,4.406244232054354,7.324657200240596,5.85820282159437,8.588978729482271,0.043478260869565216,0.2477351141052178,0.19674749201532232
mbh_plus_0p3dex,fedd0p3_spin_plus1_eps0p423_no_merger_boost,intermediate_cluster,23,23,3.255768199712356,6.919311284556836,7.324657200240596,5.85820282159437,8.588978729482271,0.0,0.05119321022780736,0.0
mbh_plus_0p3dex,fedd0p3_spin_plus1_eps0p423_no_merger_boost,light_popiii,23,23,4.908442412764314,10.270067354560146,7.324657200240596,5.85820282159437,8.588978729482271,0.0,0.000821248751424237,0.0
mbh_plus_0p3dex,fedd0p3_spin_plus1_eps0p423_no_merger_boost,pbh,23,23,2.8425996464493672,6.081622267056009,7.324657200240596,5.85820282159437,8.588978729482271,0.043478260869565216,0.15199549397896386,0.031480070710126554
mbh_plus_0p3dex,fedd1_eps0p1_merger_boost_x2,heavy_dcbh,23,23,0.26827377220483495,0.592233512437387,-0.834116543620862,-4.961260886292742,3.3964502204572815,0.0,0.4,0.4
mbh_plus_0p3dex,fedd1_eps0p1_merger_boost_x2,intermediate_cluster,23,23,0.4564066854722042,0.973668338563173,-0.834116543620862,-4.961260886292742,3.3964502204572815,0.043478260869565216,0.4331886763818746,0.4
mbh_plus_0p3dex,fedd1_eps0p1_merger_boost_x2,light_popiii,23,23,0.7072505698286964,1.4822481067308877,-0.834116543620862,-4.961260886292742,3.3964502204572815,0.043478260869565216,0.4611556949362082,0.4
mbh_plus_0p3dex,fedd1_eps0p1_merger_boost_x2,pbh,23,23,0.3936957143830811,0.8465233965212443,-0.834116543620862,-4.961260886292742,3.3964502204572815,0.21739130434782608,0.5375877123093195,0.4
mbh_plus_0p3dex,fedd1_eps0p1_no_merger_boost,heavy_dcbh,23,23,0.3060295389149206,0.6687823951405449,-0.5330865479568807,-4.66023089062876,3.6974802161212628,0.0,0.4103033156237181,0.4
mbh_plus_0p3dex,fedd1_eps0p1_no_merger_boost,intermediate_cluster,23,23,0.49416245218228977,1.050217221266331,-0.5330865479568807,-4.66023089062876,3.6974802161212628,0.043478260869565216,0.4662029941058442,0.4
mbh_plus_0p3dex,fedd1_eps0p1_no_merger_boost,light_popiii,23,23,0.745006336538782,1.5587969894340459,-0.5330865479568807,-4.66023089062876,3.6974802161212628,0.043478260869565216,0.4444281962189329,0.4
mbh_plus_0p3dex,fedd1_eps0p1_no_merger_boost,pbh,23,23,0.43145148109316667,0.9230722792244023,-0.5330865479568807,-4.66023089062876,3.6974802161212628,0.21739130434782608,0.5532936251265707,0.4
mbh_plus_0p3dex,fedd1_spin_0_eps0p057_merger_boost_x2,heavy_dcbh,23,23,0.14646179795369343,0.32332487938396953,-7.465316125022385,-14.127463060469863,0.12578165466925917,0.0,0.4,0.4
mbh_plus_0p3dex,fedd1_spin_0_eps0p057_merger_boost_x2,intermediate_cluster,23,23,0.24917137147982496,0.5315659980643376,-7.465316125022385,-14.127463060469863,0.12578165466925917,0.0,0.4,0.4
mbh_plus_0p3dex,fedd1_spin_0_eps0p057_merger_boost_x2,light_popiii,23,23,0.386117469514667,0.8092208229714949,-7.465316125022385,-14.127463060469863,0.12578165466925917,0.0,0.4,0.4
mbh_plus_0p3dex,fedd1_spin_0_eps0p057_merger_boost_x2,pbh,23,23,0.21493484697111445,0.4621522918375482,-7.465316125022385,-14.127463060469863,0.12578165466925917,0.0,0.4,0.4
mbh_plus_0p3dex,fedd1_spin_0_eps0p057_no_merger_boost,heavy_dcbh,23,23,0.16707423960250728,0.365116094752912,-7.164286129358404,-13.826433064805881,0.4268116503332404,0.0,0.4,0.4
mbh_plus_0p3dex,fedd1_spin_0_eps0p057_no_merger_boost,intermediate_cluster,23,23,0.2697838131286388,0.57335721343328,-7.164286129358404,-13.826433064805881,0.4268116503332404,0.0,0.4,0.4
mbh_plus_0p3dex,fedd1_spin_0_eps0p057_no_merger_boost,light_popiii,23,23,0.40672991116348084,0.8510120383404375,-7.164286129358404,-13.826433064805881,0.4268116503332404,0.0,0.4,0.4
