physical_object_id,measurement_id,object_id,growth_ranking_eligible_flag,primary_growth_ranking_flag,open_identity_group,excluded_identity_flag,exploratory_only_evidence_flag,evidence_selection_reason,publication_primary_flag,publication_exploratory_flag
HZA-GN-954,GN954_juodzbalis25,GN-954,True,True,,False,False,,True,True
HZA-GN-96071,GN96071_meow26,GN-96071,False,False,,False,False,,False,False
HZA-GN-Z11,GNZ11_maiolino24,GN-z11,True,False,,False,False,,False,True
HZA-GOODS-N-12839,GOODSN12839_matthee23,GOODS-N-12839,True,True,,False,False,,True,True
HZA-GOODS-N-13733,GOODSN13733_matthee23,GOODS-N-13733,True,True,,False,False,,True,True
HZA-GOODS-N-14409,GOODSN14409_matthee23,GOODS-N-14409,True,True,,False,False,,True,True
HZA-GOODS-N-15498,GOODSN15498_matthee23,GOODS-N-15498,True,True,,False,False,,True,True
HZA-GOODS-N-16813,GOODSN16813_matthee23,GOODS-N-16813,True,True,,False,False,,True,True
HZA-GOODS-N-4014,GOODSN4014_matthee23,GOODS-N-4014,True,True,,False,False,,True,True
HZA-GOODS-N-9771,GOODSN9771_matthee23,GOODS-N-9771,True,True,,False,False,,True,True
HZA-GOODSN-1211-2066,GOODSN12112066_baccus26,GOODSN_1211_2066,True,True,,False,False,,True,True
HZA-GS-10013704,GS10013704_juodzbalis25,GS-10013704,True,True,jades_99671_neighbour,True,False,,False,False
HZA-GS-159717,GS159717_juodzbalis25,GS-159717,True,True,,False,False,,True,True
HZA-GS-164055,GS164055_juodzbalis25,GS-164055,True,True,,False,True,Individual broad-Hbeta detection is tentative; broad emission is supported by the stacked spectrum.,False,True
HZA-GS-172975,GS172975_juodzbalis25,GS-172975,True,True,,False,False,,True,True
HZA-GS-18381,GS18381_meow26,GS-18381,False,False,,False,False,,False,False
HZA-GS-185980,GS185980_meow26,GS-185980,False,False,,False,False,,False,False
HZA-GS-20025526,GS20025526_tang25,GS-20025526,False,False,,False,False,,False,False
HZA-GS-20030333,GS20030333_juodzbalis25,GS-20030333,True,True,,False,True,Individual broad-Hbeta detection is tentative; broad emission is supported by the stacked spectrum.,False,True
HZA-GS-20057765,GS20057765_juodzbalis25,GS-20057765,True,True,,False,True,Individual broad-Hbeta detection is tentative; broad emission is supported by the stacked spectrum.,False,True
HZA-GS-200679,GS200679_juodzbalis25,GS-200679,True,True,,False,False,,True,True
HZA-GS-20329,GS20329_meow26,GS-20329,False,False,,False,False,,False,False
HZA-GS-204851,GS204851_juodzbalis25,GS-204851,True,True,,False,False,,True,True
HZA-GS-210600,GS210600_juodzbalis25,GS-210600,True,True,,False,False,,True,True
HZA-GS-30148179,GS30148179_juodzbalis25,GS-30148179,True,True,,False,False,,True,True
HZA-GS-38562,GS38562_juodzbalis25,GS-38562,True,True,,False,False,,True,True
HZA-GS-39981,GS39981_meow26,GS-39981,False,False,,False,False,,False,False
HZA-GS-8083,GS8083_juodzbalis25,GS-8083,True,True,baccus_gs8083,True,False,,False,False
HZA-GS-81034,GS81034_tang25,GS-81034,False,False,,False,False,,False,False
HZA-GTO-1213-3848,GTO12133848_baccus26,GTO_1213_3848,True,True,,False,False,,True,True
HZA-GTO-1215-1472,GTO12151472_baccus26,GTO_1215_1472,True,True,,False,False,,True,True
HZA-GTO-1215-4446,GTO12154446_baccus26,GTO_1215_4446,True,True,,False,False,,True,True
HZA-GTO-1215-6001,GTO12156001_baccus26,GTO_1215_6001,True,True,,False,False,,True,True
HZA-GTO-WIDE-UDS12-1215-1259,gtowideuds1212151259_mascia26,gto-wide-uds12_1215_1259,False,False,,False,False,,False,False
HZA-J0100-12446,J010012446_matthee23,J0100-12446,True,True,,False,False,,True,True
HZA-J0100-15157,J010015157_matthee23,J0100-15157,True,True,,False,False,,True,True
HZA-J0100-16221,J010016221_matthee23,J0100-16221,True,True,,False,False,,True,True
HZA-J0100-2017,J01002017_matthee23,J0100-2017,True,True,,False,False,,True,True
HZA-J0109M3047-BHAE-1,J0109M3047BHAE1_lin24,J0109M3047-BHAE-1,True,True,,False,False,,True,True
HZA-J0148-12884,J014812884_matthee23,J0148-12884,True,True,,False,False,,True,True
HZA-J0148-4214,J01484214_matthee23,J0148-4214,True,True,,False,False,,True,True
HZA-J0148-976,J0148976_matthee23,J0148-976,True,True,,False,False,,True,True
HZA-J0218P0007-BHAE-1,J0218P0007BHAE1_lin24,J0218P0007-BHAE-1,True,True,,False,False,,True,True
HZA-J0224M4711-BHAE-1,J0224M4711BHAE1_lin24,J0224M4711-BHAE-1,True,True,,False,False,,True,True
HZA-J0226-3325-10867,J0226332510867_baccus26,J0226_3325_10867,True,True,,False,False,,True,True
HZA-J0226-3325-3190,J022633253190_baccus26,J0226_3325_3190,True,True,,False,False,,True,True
HZA-J0226-3325-6699,J022633256699_baccus26,J0226_3325_6699,True,True,,False,False,,True,True
HZA-J0226-3325-9556,J022633259556_baccus26,J0226_3325_9556,True,True,,False,False,,True,True
HZA-J0229M0808-BHAE-1,J0229M0808BHAE1_lin24,J0229M0808-BHAE-1,True,True,,False,False,,True,True
HZA-J0229M0808-BHAE-2,J0229M0808BHAE2_lin24,J0229M0808-BHAE-2,True,True,,False,False,,True,True
HZA-J0430M1445-BHAE-1,J0430M1445BHAE1_lin24,J0430M1445-BHAE-1,True,True,,False,False,,True,True
HZA-J0647-1045,J06471045_killi24,J0647-1045,True,True,,False,False,,True,True
HZA-J0910-2028-12910,J0910202812910_baccus26,J0910_2028_12910,True,True,,False,False,,True,True
HZA-J0910-2028-14306,J0910202814306_baccus26,J0910_2028_14306,True,True,,False,False,,True,True
HZA-J0910M0414-BHAE-1,J0910M0414BHAE1_lin24,J0910M0414-BHAE-1,True,True,,False,False,,True,True
HZA-J0923P0402-BHAE-1,J0923P0402BHAE1_lin24,J0923P0402-BHAE-1,True,True,,False,False,,True,True
HZA-J1120-14389,J112014389_matthee23,J1120-14389,True,True,,False,False,,True,True
HZA-J1120-7546,J11207546_matthee23,J1120-7546,True,True,,False,False,,True,True
HZA-J1148-18404,J114818404_matthee23,J1148-18404,True,True,,False,False,,True,True
HZA-J1148-21787,J114821787_matthee23,J1148-21787,True,True,,False,False,,True,True
HZA-J1148-7111,J11487111_matthee23,J1148-7111,True,True,,False,False,,True,True
HZA-J1526M2050-BHAE-1,J1526M2050BHAE1_lin24,J1526M2050-BHAE-1,True,True,,False,False,,True,True
HZA-J1526M2050-BHAE-2,J1526M2050BHAE2_lin24,J1526M2050-BHAE-2,True,True,,False,False,,True,True
HZA-J1526M2050-BHAE-3,J1526M2050BHAE3_lin24,J1526M2050-BHAE-3,True,True,,False,False,,True,True
HZA-J2002M3013-BHAE-1,J2002M3013BHAE1_lin24,J2002M3013-BHAE-1,True,True,,False,False,,True,True
HZA-J2132P1217-BHAE-1,J2132P1217BHAE1_lin24,J2132P1217-BHAE-1,True,True,,False,False,,True,True
HZA-J2232P2930-BHAE-1,J2232P2930BHAE1_lin24,J2232P2930-BHAE-1,True,True,,False,False,,True,True
