catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v3-dataset-catalogue,HZA-GOODS-N-4014,HZS-GOODS-N-4014,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-GOODS-N-9771,HZS-GOODS-N-9771,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-GOODSN-1211-2066,HZS-GOODSN-1211-2066,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GS-10013704,HZS-GS-10013704,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-159717,HZS-GS-159717,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-GS-164055,HZS-GS-164055,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-172975,HZS-GS-172975,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-18381,HZS-GS-18381,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GS-185980,HZS-GS-185980,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GS-20025526,HZS-GS-20025526,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GS-20030333,HZS-GS-20030333,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-20057765,HZS-GS-20057765,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-200679,HZS-GS-200679,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-20329,HZS-GS-20329,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GS-204851,HZS-GS-204851,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-210600,HZS-GS-210600,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-30148179,HZS-GS-30148179,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-38562,HZS-GS-38562,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-39981,HZS-GS-39981,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GS-8083,HZS-GS-8083,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GS-81034,HZS-GS-81034,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GTO-1213-3848,HZS-GTO-1213-3848,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GTO-1215-1472,HZS-GTO-1215-1472,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GTO-1215-4446,HZS-GTO-1215-4446,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GTO-1215-6001,HZS-GTO-1215-6001,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GTO-WIDE-UDS12-1215-1259,HZS-GTO-WIDE-UDS12-1215-1259,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-J0100-12446,HZS-J0100-12446,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0100-15157,HZS-J0100-15157,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0100-16221,HZS-J0100-16221,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0100-2017,HZS-J0100-2017,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0109M3047-BHAE-1,HZS-J0109M3047-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0148-12884,HZS-J0148-12884,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0148-4214,HZS-J0148-4214,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0148-976,HZS-J0148-976,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0218P0007-BHAE-1,HZS-J0218P0007-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0224M4711-BHAE-1,HZS-J0224M4711-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-J0226-3325-10867,HZS-J0226-3325-10867,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-J0226-3325-3190,HZS-J0226-3325-3190,source_verified_single_object_host,not_published
